len	tc	intersection	union	enrichment
1400	0	0	2597477	0
1400	0.05	370961	4821555	0.07693
1400	0.1	376852	4964644	0.0759
1400	0.15	384337	5063398	0.0759
1400	0.2	388374	5142437	0.07552
1400	0.25	389883	5204817	0.0749
1400	0.3	392323	5282142	0.07427
1400	0.35	398254	5343074	0.07453
1400	0.4	403609	5427903	0.07435
1400	0.45	409791	5517552	0.07427
1400	0.5	416596	5616928	0.07416
1400	0.55	1321912	14134930	0.09352
1400	0.6	1327144	14347264	0.0925
1400	0.65	1335084	14500913	0.09206
1400	0.7	1342357	14763119	0.09092
1400	0.75	1359140	15071966	0.09017
1400	0.8	1382967	15524356	0.08908
1400	0.85	1412724	16225813	0.08706
1400	0.9	1467897	17631473	0.08325
1400	0.95	1681756	22280603	0.07548
1400	1	0	2597477	0
1450	0	0	2597477	0
1450	0.05	370527	4823963	0.0768
1450	0.1	377067	4959216	0.07603
1450	0.15	384718	5054276	0.07611
1450	0.2	388736	5137495	0.07566
1450	0.25	390573	5195237	0.07517
1450	0.3	392478	5268049	0.0745
1450	0.35	395898	5336184	0.07419
1450	0.4	401843	5410984	0.07426
1450	0.45	409553	5490715	0.07459
1450	0.5	416464	5593411	0.07445
1450	0.55	1322225	14121842	0.09362
1450	0.6	1325770	14322384	0.09256
1450	0.65	1332804	14471976	0.09209
1450	0.7	1340695	14727823	0.09103
1450	0.75	1357491	15027737	0.09033
1450	0.8	1379192	15460603	0.0892
1450	0.85	1407780	16149128	0.08717
1450	0.9	1463536	17515879	0.08355
1450	0.95	1671641	21989099	0.07602
1450	1	0	2597477	0
1500	0	0	2597477	0
1500	0.05	369215	4826386	0.07649
1500	0.1	377840	4955871	0.07624
1500	0.15	382902	5045022	0.07589
1500	0.2	389475	5128527	0.07594
1500	0.25	390948	5189868	0.07532
1500	0.3	391981	5255172	0.07458
1500	0.35	395161	5327295	0.07417
1500	0.4	402395	5398018	0.07454
1500	0.45	409388	5477155	0.07474
1500	0.5	414867	5570557	0.07447
1500	0.55	1320998	14108993	0.09362
1500	0.6	1325584	14299510	0.0927
1500	0.65	1330552	14437567	0.09215
1500	0.7	1340414	14702645	0.09116
1500	0.75	1353521	14993399	0.09027
1500	0.8	1376421	15399619	0.08938
1500	0.85	1407552	16069136	0.08759
1500	0.9	1456066	17375937	0.08379
1500	0.95	1659068	21693798	0.07647
1500	1	0	2597477	0
1550	0	0	2597477	0
1550	0.05	368967	4820657	0.07653
1550	0.1	377082	4952344	0.07614
1550	0.15	382982	5040338	0.07598
1550	0.2	389204	5127718	0.0759
1550	0.25	390708	5180029	0.07542
1550	0.3	390127	5250334	0.0743
1550	0.35	394671	5317697	0.07421
1550	0.4	401227	5381752	0.07455
1550	0.45	407918	5462673	0.07467
1550	0.5	412900	5555877	0.07431
1550	0.55	1317947	14011780	0.09405
1550	0.6	1324267	14286390	0.09269
1550	0.65	1330151	14410501	0.0923
1550	0.7	1340858	14671050	0.09139
1550	0.75	1351472	14952288	0.09038
1550	0.8	1372760	15355773	0.08939
1550	0.85	1405173	16002399	0.08781
1550	0.9	1451025	17261434	0.08406
1550	0.95	1647457	21433636	0.07686
1550	1	0	2597477	0
1600	0	0	2597477	0
1600	0.05	368894	4818574	0.07655
1600	0.1	377494	4942483	0.07637
1600	0.15	382793	5034044	0.07604
1600	0.2	387325	5113626	0.07574
1600	0.25	390323	5176324	0.0754
1600	0.3	390918	5244344	0.07454
1600	0.35	393935	5308319	0.07421
1600	0.4	400875	5374334	0.07459
1600	0.45	405246	5450699	0.07434
1600	0.5	410585	5542875	0.07407
1600	0.55	1316017	13991103	0.09406
1600	0.6	1323323	14269280	0.09273
1600	0.65	1328850	14395798	0.0923
